Address,Area,Frontage,Access Road,House direction,Balcony direction,Bedrooms,Bathrooms,Legal status,Furniture state,Price,Day,Province,District,Detail,Price_per_m2,Area_Group,Price_Segment,Latitude,Longitude
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Swan Lake Onsen Residences",420.0,6.0,10.0,Đông - Bắc,Đông - Nam,5.0,6.0,Đã có sổ,Không xác định,41.0,3,Hưng Yên,Văn Giang,Căn hộ chung cư tại Swan Lake Onsen Residences,0.1,>90 m²,>10 tỷ,20.6464,106.0511
"Bình Dương, Thủ Dầu Một, Căn hộ chung cư tại Orchard Hill - Sycamore",94.0,6.0,10.0,Đông - Nam,Tây - Bắc,2.0,2.0,Hợp đồng mua bán,Cơ bản,5.8,3,Bình Dương,Thủ Dầu Một,Căn hộ chung cư tại Orchard Hill - Sycamore,0.06,>90 m²,4-6 tỷ,11.1604,106.6508
"Bắc Giang, Bắc Giang, Căn hộ chung cư tại đường Đào Sư Tích",61.0,6.0,10.0,Tây - Bắc,Đông - Nam,2.0,2.0,Đã có sổ,Đầy đủ,2.45,3,Bắc Giang,Bắc Giang,Căn hộ chung cư tại đường Đào Sư Tích,0.04,50-70 m²,<4 tỷ,21.2731,106.1946
"Hà Nội, Đan Phượng, Căn hộ chung cư tại Masteri Sky Quarter",47.0,6.0,10.0,Tây - Nam,Đông - Bắc,3.0,2.0,Hợp đồng mua bán,Đầy đủ,3.67,3,Hà Nội,Đan Phượng,Căn hộ chung cư tại Masteri Sky Quarter,0.08,30-50 m²,<4 tỷ,21.0285,105.8542
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại Diamond Sky",70.0,6.0,10.0,Tây - Bắc,Đông - Nam,2.0,2.0,Đã có sổ,Đầy đủ,0.13,3,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư tại Diamond Sky,0.0,50-70 m²,<4 tỷ,10.7769,106.7009
"Hồ Chí Minh, Quận 10, Căn hộ chung cư tại Thiên Nam Apartment",126.2,6.0,10.0,Bắc,Nam,3.0,3.0,Đã có sổ,Đầy đủ,10.9,2,Hồ Chí Minh,Quận 10,Căn hộ chung cư tại Thiên Nam Apartment,0.09,>90 m²,>10 tỷ,10.7769,106.7009
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Imperia Sky Park",154.0,6.0,10.0,Đông - Bắc,Đông,3.0,2.0,Hợp đồng mua bán,Không xác định,0.09,1,Hà Nội,Hoài Đức,Căn hộ chung cư tại Imperia Sky Park,0.0,>90 m²,<4 tỷ,21.0285,105.8542
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại Urban Green",65.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,5.15,2,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư tại Urban Green,0.08,50-70 m²,4-6 tỷ,10.7769,106.7009
"Hải Phòng, Thủy Nguyên, Căn hộ chung cư tại Hoàng Huy New City",62.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,5.06,2,Hải Phòng,Thủy Nguyên,Căn hộ chung cư tại Hoàng Huy New City,0.08,50-70 m²,4-6 tỷ,20.8449,106.6881
"Hà Nội, Thanh Xuân, Căn hộ chung cư tại Hanoi Seasons Garden",84.7,6.0,10.0,Không xác định,Tây - Nam,1.0,2.0,Không xác định,Không xác định,13.1,2,Hà Nội,Thanh Xuân,Căn hộ chung cư tại Hanoi Seasons Garden,0.15,70-90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại The Sakura - Vinhomes Smart City",77.6,6.0,10.0,Đông - Bắc,Tây - Nam,3.0,2.0,Đã có sổ,Đầy đủ,6.65,2,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại The Sakura - Vinhomes Smart City,0.09,70-90 m²,6-8 tỷ,21.0285,105.8542
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",168.0,6.0,10.0,Tây - Bắc,Tây - Bắc,3.0,2.0,Đã có sổ,Đầy đủ,15.99,2,Hà Nội,Tây Hồ,Căn hộ chung cư tại Udic Westlake,0.1,>90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Tây Hồ, Căn hộ chung cư tại Udic Westlake",86.0,6.0,10.0,Tây,Tây,2.0,2.0,Đã có sổ,Đầy đủ,9.09,2,Hà Nội,Tây Hồ,Căn hộ chung cư tại Udic Westlake,0.11,70-90 m²,8-10 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Imperia Smart City",55.0,6.0,10.0,Không xác định,Đông - Nam,2.0,1.0,Đã có sổ,Cơ bản,4.52,5,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Imperia Smart City,0.08,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Hà Đông, Căn hộ chung cư tại The Pride",102.8,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Đã có sổ,Đầy đủ,16.9,1,Hà Nội,Hà Đông,Căn hộ chung cư tại The Pride,0.16,>90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Đông Anh, Căn hộ chung cư tại Masteri Grand Avenue",28.0,6.0,10.0,Đông - Nam,Tây - Bắc,1.0,1.0,Hợp đồng mua bán,Đầy đủ,3.75,5,Hà Nội,Đông Anh,Căn hộ chung cư tại Masteri Grand Avenue,0.13,<30 m²,<4 tỷ,21.0285,105.8542
"Hải Phòng, Kiến An, Căn hộ chung cư tại Golden Point Đồng Hòa",63.0,6.0,10.0,Bắc,Nam,2.0,2.0,Đã có sổ,Cơ bản,0.02,7,Hải Phòng,Kiến An,Căn hộ chung cư tại Golden Point Đồng Hòa,0.0,50-70 m²,<4 tỷ,20.8449,106.6881
"Hồ Chí Minh, Bình Thạnh, Căn hộ chung cư tại Sunwah Pearl",98.92,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Hợp đồng mua bán,Cơ bản,18.46,7,Hồ Chí Minh,Bình Thạnh,Căn hộ chung cư tại Sunwah Pearl,0.19,>90 m²,>10 tỷ,10.7769,106.7009
"Hà Nội, Hoài Đức, Căn hộ chung cư tại Thăng Long Capital",69.9,6.0,10.0,Đông,Tây,2.0,2.0,Đã có sổ,Đầy đủ,4.5,6,Hà Nội,Hoài Đức,Căn hộ chung cư tại Thăng Long Capital,0.06,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại đường Đỗ Xuân Hợp",97.1,6.0,10.0,Tây - Bắc,Không xác định,3.0,2.0,Hợp đồng mua bán,Không xác định,14.0,6,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư tại đường Đỗ Xuân Hợp,0.14,>90 m²,>10 tỷ,10.7769,106.7009
"Bình Dương, Thuận An, Căn hộ chung cư tại Monrei Saigon",55.0,6.0,10.0,Nam,Nam,2.0,1.0,Hợp đồng mua bán,Đầy đủ,2.06,6,Bình Dương,Thuận An,Căn hộ chung cư tại Monrei Saigon,0.04,50-70 m²,<4 tỷ,11.1604,106.6508
"Hồ Chí Minh, Thủ Đức, Căn hộ chung cư tại Flora Novia",58.0,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Đã có sổ,Không xác định,3.66,6,Hồ Chí Minh,Thủ Đức,Căn hộ chung cư tại Flora Novia,0.06,50-70 m²,<4 tỷ,10.7769,106.7009
"Hồ Chí Minh, Quận 8, Căn hộ chung cư tại Dream Home Palace",66.0,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Hợp đồng mua bán,Không xác định,2.65,6,Hồ Chí Minh,Quận 8,Căn hộ chung cư tại Dream Home Palace,0.04,50-70 m²,<4 tỷ,10.7769,106.7009
"Phú Thọ, Việt Trì, Căn hộ chung cư tại Nexus Tower",81.61,6.0,10.0,Tây - Nam,Đông - Bắc,3.0,2.0,Đã có sổ,Cơ bản,1.83,6,Phú Thọ,Việt Trì,Căn hộ chung cư tại Nexus Tower,0.02,70-90 m²,<4 tỷ,21.3167,105.2167
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Masteri West Heights",55.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,5.9,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,0.11,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",48.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,4.7,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.1,30-50 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Masteri West Heights",63.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,6.8,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Masteri West Heights,0.11,50-70 m²,6-8 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",32.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,3.3,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.1,30-50 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",64.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,5.9,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.09,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",47.0,6.0,10.0,Không xác định,Không xác định,3.0,2.0,Không xác định,Không xác định,4.8,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.1,30-50 m²,4-6 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",32.0,6.0,10.0,Không xác định,Không xác định,1.0,1.0,Đã có sổ,Đầy đủ,3.1,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.1,30-50 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",31.0,6.0,10.0,Không xác định,Không xác định,1.0,2.0,Đã có sổ,Đầy đủ,2.75,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.09,30-50 m²,<4 tỷ,21.0285,105.8542
"Hà Nội, Nam Từ Liêm, Căn hộ chung cư tại Vinhomes Smart City",55.0,6.0,10.0,Không xác định,Không xác định,2.0,1.0,Đã có sổ,Đầy đủ,5.25,7,Hà Nội,Nam Từ Liêm,Căn hộ chung cư tại Vinhomes Smart City,0.1,50-70 m²,4-6 tỷ,21.0285,105.8542
"Hồ Chí Minh, Bình Thạnh, Căn hộ chung cư tại Sunwah Pearl",104.72,6.0,10.0,Không xác định,Không xác định,2.0,2.0,Hợp đồng mua bán,Cơ bản,24.92,7,Hồ Chí Minh,Bình Thạnh,Căn hộ chung cư tại Sunwah Pearl,0.24,>90 m²,>10 tỷ,10.7769,106.7009
"Hà Nội, Hà Đông, Căn hộ chung cư tại Chung cư cao cấp CT5 Văn Khê",81.8,6.0,10.0,Nam,Bắc,2.0,2.0,Đã có sổ,Không xác định,5.4,7,Hà Nội,Hà Đông,Căn hộ chung cư tại Chung cư cao cấp CT5 Văn Khê,0.07,70-90 m²,4-6 tỷ,21.0285,105.8542
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Alumi - Alluvia City",114.93,6.0,10.0,Bắc,Bắc,3.0,3.0,Hợp đồng mua bán,Cơ bản,8.81,3,Hưng Yên,Văn Giang,Căn hộ chung cư tại Alumi - Alluvia City,0.08,>90 m²,8-10 tỷ,20.6464,106.0511
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Khu đô thị Ecopark",152.0,6.0,10.0,Không xác định,Tây - Bắc,3.0,3.0,Đã có sổ,Đầy đủ,14.0,3,Hưng Yên,Văn Giang,Căn hộ chung cư tại Khu đô thị Ecopark,0.09,>90 m²,>10 tỷ,20.6464,106.0511
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Aqua Bay Sky Residences",152.0,6.0,10.0,Không xác định,Tây - Bắc,3.0,2.0,Đã có sổ,Đầy đủ,13.2,3,Hưng Yên,Văn Giang,Căn hộ chung cư tại Aqua Bay Sky Residences,0.09,>90 m²,>10 tỷ,20.6464,106.0511
"Hưng Yên, Văn Giang, Căn hộ chung cư tại Alumi - Alluvia City",34.46,6.0,10.0,Nam,Bắc,1.0,1.0,Hợp đồng mua bán,Cơ bản,2.54,3,Hưng Yên,Văn Giang,Căn hộ chung cư tại Alumi - Alluvia City,0.07,30-50 m²,<4 tỷ,20.6464,106.0511
"Hà Nội, Hoàng Mai, Căn hộ chung cư tại Vinhomes Times City - Park Hill",95.0,6.0,10.0,Tây,Tây - Nam,3.0,2.0,Không xác định,Đầy đủ,12.0,8,Hà Nội,Hoàng Mai,Căn hộ chung cư tại Vinhomes Times City - Park Hill,0.13,>90 m²,>10 tỷ,21.0285,105.8542
"Hà Nội, Cầu Giấy, Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính",152.5,6.0,10.0,Không xác định,Không xác định,3.0,3.0,Đã có sổ,Không xác định,14.5,8,Hà Nội,Cầu Giấy,Căn hộ chung cư tại Khu đô thị Trung Hòa - Nhân Chính,0.1,>90 m²,>10 tỷ,21.0285,105.8542
